code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
000735,罗牛山,1.1367,0.7436,17.2331,73.4188,59.7477,40.2523
000736,中房地产,0.0161,0.0161,0.1217,-101.5183,-520.3017,620.3017
000737,南风化工,1.0503,0.7875,30.5255,165.1602,44.5765,55.4235
000738,中航动控,0.9685,0.7914,8.1725,145.6477,66.7176,33.2824
000739,普洛药业,0.8855,0.5942,26.4176,278.6341,34.7802,65.2198
000750,国海证券,0.5535,0.4811,1.3023,11.7625,41.2471,58.7529
000751,锌业股份,1.4539,1.0357,31.6674,264.7161,42.207,57.793
000752,西藏发展,1.8951,1.7995,52.2879,1042.999,78.2164,21.7836
000753,漳州发展,1.8757,1.7024,32.7226,170.4482,43.1738,56.8262
000755,*ST三维,0.6193,0.3849,20.773,233.1209,41.4318,58.5682
000756,新华制药,1.2354,0.9425,37.7381,329.6417,60.9069,39.0931
000757,浩物股份,0.8137,0.6611,0.3841,15.2431,2.671,97.329
000758,中色股份,1.6608,1.3754,83.8073,-1223.7583,51.0257,48.9743
000759,中百集团,0.5088,0.3158,22.2259,288.165,34.6109,65.3891
000760,斯太尔,1.2255,1.0819,11.7184,449.7358,36.883,63.117
000761,本钢板材,2.334,1.6314,89.8413,10351.2576,70.7109,29.2891
000762,西藏矿业,1.3292,1.0451,25.1848,152.8777,53.9082,46.0918
000766,通化金马,3.1793,2.8735,10.6282,-7019.7314,4.4712,95.5288
000767,漳泽电力,0.6349,0.5623,28.1406,7769.0283,40.4576,59.5424
000768,中航飞机,1.9163,0.7119,10.1229,687.5071,68.4398,31.5602
000776,广发证券,0.5207,0.3572,6.5375,583.0097,59.0231,40.9769
000777,中核科技,1.6908,1.2414,30.6372,490.505,59.7829,40.2171
000778,新兴铸管,1.3086,0.8179,16.3199,2167.9326,49.5015,50.4985
000779,三毛派神,1.186,0.73,7.341,15325.5148,48.1721,51.8279
000780,平庄能源,0.765,0.625,47.2546,-209.3622,40.7467,59.2533
000782,美达股份,0.8232,0.4736,7.7008,199.0133,44.957,55.043
000783,长江证券,0.7105,0.3321,0.0825,-3182.7885,18.9623,81.0377
000785,武汉中商,0.5085,0.295,17.6313,185.4815,24.7119,75.2881
000786,北新建材,0.8318,0.661,19.3268,224.4858,39.8234,60.1766
000788,北大医药,0.7528,0.5484,13.3302,134.7041,28.5722,71.4278
000789,万年青,--,--,--,115.4189,28.3311,--
000790,泰合健康,1.5513,1.3922,85.228,66.4432,63.5098,36.4902
000791,甘肃电投,0.9255,0.5044,5.6289,-158.1623,49.9346,50.0654
000792,盐湖股份,2.6673,2.1308,86.3864,928.4161,52.502,47.498
000793,华闻传媒,1.5306,1.461,28.0934,195.782,52.4916,47.5084
000795,英洛华,1.2303,0.8475,49.2409,231.7805,44.0702,55.9298
000796,凯撒旅游,0.8487,0.5096,15.039,155.589,46.87,53.13
000797,中国武夷,1.406,0.7521,18.5186,197.7968,31.093,68.907
000798,中水渔业,6.229,4.4336,125.029,319.6492,89.9277,10.0723
000799,酒鬼酒,1.0726,0.5535,0.6876,-119.1255,45.7758,54.2242
000800,一汽轿车,--,--,--,-359.2533,63.2111,--
000801,四川九洲,1.2442,0.6424,15.7404,158.5418,44.8734,55.1266
000802,北京文化,0.3644,0.3229,5.7886,191.584,42.1139,57.8861
000803,*ST金宇,0.9037,0.4027,2.9538,-38.7288,35.8381,64.1619
000806,银河生物,0.9372,0.7548,9.2119,137.5288,39.7751,60.2249
000807,云铝股份,1.3019,0.5445,42.3605,244.1938,34.0177,65.9823
000809,铁岭新城,2.9492,2.3581,64.0334,7801.9147,85.8382,14.1618
000810,创维数字,0.7316,0.4558,9.6769,482.0721,45.9289,54.0711
000811,烟台冰轮,0.8508,0.4271,9.819,410.8917,38.4203,61.5797
000812,陕西金叶,1.3983,1.0842,29.0929,231.3331,66.9775,33.0225
000813,德展健康,1.5028,0.7807,45.0695,2115.9923,55.954,44.046
000815,美利云,1.0587,0.6504,37.1317,206.5472,33.2747,66.7253
