code,name,mbrg,nprg,nav,targ,epsg,seg
000682,东方电子,18.4274,13.7036,3.6533,7.1476,63.4328,70.2022
000683,远兴能源,-12.4268,105.4574,11.2606,2.3356,100.0,11.6361
000685,中山公用,12.8581,-25.4673,4.4154,3.9514,-27.7778,4.0103
000686,东北证券,,-20.7299,-2.5483,-5.8891,-15.3846,-3.169
000686,东北证券,,-20.7299,-2.5483,-5.8891,-15.3846,-3.1689999999999996
000687,华讯方舟,83.3689,-12.32,11.3332,46.7889,-20.8973,8.5255
000688,国城矿业,7.8163,5.6073,14.0793,17.2133,6.0763,15.3231
000690,宝新能源,47.6084,82.54700000000003,4.4359,25.3307,83.3333,4.4369
000691,亚太实业,-2.9508,,-7.3988,-21.5363,-44.7154,-8.616
000692,惠天热电,5.3788,-11286.257,-17.9485,-3.8758,-5349.2958,-19.2785
000693,*ST华泽,-99.8466,,-299.1948,-55.2971,37.6633,-299.1948
000695,滨海能源,66.4235,,53.7536,53.9937,-14.2857,3.5095
000697,炼石有色,685.4009,,4.4499,-4.6975,-10.2426,3.4564
000698,沈阳化工,-23.4365,-40.6667,4.2645,-3.3226,-40.2878,4.1822
000700,模塑科技,32.1673,-84.4035,-19.8889,4.1156,-86.2425,-20.0064
000701,厦门信达,8.8768,-7.9148,2.8485,-0.1235,-143.1818,-1.31
000702,正虹科技,-3.5423,,8.4393,8.7843,-1224.7619,9.656
000703,恒逸石化,39.7374,36.9247,13.6305,36.2968,-9.434,7.2662
000705,浙江震元,9.0834,-2.763,6.3728,0.9209,0.2347,6.5523
000707,*ST双环,-13.0127,761.7139,-53.6827,-26.0048,753.3024,-55.7888
000708,大冶特钢,27.1869,35.0214,8.538,19.6869,35.1544,8.538
000709,河钢股份,3.1516,68.618,9.9205,5.1908,45.7627,9.5752
000710,贝瑞基因,438.7504,,1536.6977,284.0727,-921.8,1494.4353
000711,京蓝科技,135.3527,11.3304,45.5467,100.4189,-20.0,43.2089
000712,锦龙股份,-100.0,-124.3642,0.9886,10.9547,-149.0909,-1.3861
000713,丰乐种业,20.6241,,1.4811,6.8386,-108.5427,-1.4535
000715,中兴商业,4.1066,15.7156,6.7353,2.9773,16.1789,6.7353
000716,黑芝麻,44.9,-64.5801,47.4448,44.0839,-47.7273,47.8607
000717,韶钢松山,6.9177,170.4163,322.253,3.6327,170.4283,322.253
000718,苏宁环球,-12.3008,118.4199,4.8055,-10.2491,136.8601,15.3666
000719,中原传媒,7.6375,5.6221,7.8565,10.4496,6.25,7.8343
000720,*ST新能,-40.0684,,61.5388,10.8514,-459.6043,116.5021
000721,西安饮食,1.0756,,-2.4679,-2.7238,86.3636,-1.8171
000722,湖南发展,-13.3974,-30.421,1.8305,1.8484,-26.6667,1.715
000723,美锦能源,11.0408,10.0557,13.4551,14.8722,6.382999999999999,15.1267
000725,京东方A,-2.5359,-38.4252,15.3111,22.5126,-30.8943,4.4662
000726,鲁泰A,9.716,-4.8142,3.8525,7.1541,-4.6512,2.9985
000726,鲁泰A,9.716000000000001,-4.8142,3.8525,7.1541,-4.6512,2.9985
000727,华东科技,-26.547,,-6.9064,-1.9034,328.6585,-6.8313
000727,华东科技,-26.546999999999997,,-6.9064,-1.9034,328.6585,-6.8313
000728,国元证券,,-55.2588,20.0749,14.7154,-58.8235,20.8224
000729,燕京啤酒,0.5726,5.6816,0.1952,-0.1493,3.4483,0.5642
000731,四川美丰,-16.3204,33.3824,5.2537,-5.6345,43.7283,6.0007
000732,泰禾集团,42.1242,52.5839,47.7631,45.4958,6.9147,7.922999999999999
000733,振华科技,-31.5179,15.444,5.4442,2.3832,14.4262,3.4395
000735,罗牛山,-53.7434,153.1489,8.4455,11.7864,157.2438,8.5657
000736,中交地产,791.3184,,60.1738,41.0901,-387.5264,62.5175
000737,*ST南风,10.1674,,,-0.3788,-28.5763,-3791.2938
000738,航发控制,4.8759,18.4558,4.2633,5.1726,16.6267,3.9746
000739,普洛药业,12.0529,43.5246,17.861,0.8746,43.8182,17.861
000750,国海证券,,-67.2301,-1.9704,-1.0096,-75.0,-0.9223
000751,锌业股份,26.1769,-45.4442,9.3789,19.3646,-45.4545,8.4926
000752,西藏发展,-4.5224,-14.576,-12.7421,-10.9012,0.0,0.537
