code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300633,开立医疗,医疗保健,深圳,25.69,0.4,4.0,101456.81,79109.56,4121.85,7478.93,0.19,0.322,2.0,4.15,20170406,22939.65,0.57,4.89,21.78,64.99,17.92,71423
601228,广州港,港口,广东,49.02,6.99,61.93,2096689.38,284503.47,1135228.38,100512.78,0.16,0.108,1.82,2.92,20170329,314446.72,0.51,15.27,-0.24,25.49,8.67,548899
601992,金隅股份,水泥,北京,24.64,81.45,106.78,20839712.0,11947873.0,4577328.5,586519.56,0.55,0.252,4.14,1.5,20110301,2098012.0,1.96,16.65,33.17,23.45,5.63,70763
002656,摩登大道,服饰,广东,0.0,2.56,4.1,336135.19,167484.45,38911.53,115820.86,2.83,-0.18,4.77,4.12,20120228,34507.55,0.84,5.56,-550.63,53.6,-11.74,9028
600717,天津港,港口,天津,20.54,16.75,16.75,3228262.5,849932.69,1424373.75,348071.16,2.08,0.755,9.17,1.69,19960614,843825.13,5.04,-15.29,3.13,27.91,9.69,98549
300055,万邦达,环境保护,北京,58.37,6.39,8.65,737332.19,449376.31,65228.17,360639.22,4.17,0.25,6.27,2.85,20100226,89857.93,1.04,-13.5,-16.9,31.58,16.56,70501
000524,岭南控股,酒店餐饮,广东,297.86,2.7,5.35,85293.45,14763.0,32226.76,20164.96,0.38,0.057,2.31,7.38,19931118,3329.18,0.06,-0.99,-21.96,54.76,10.11,30535
000820,神雾节能,环境保护,辽宁,135.71,2.21,6.37,105571.22,100591.3,458.76,-19012.25,-0.3,0.43,1.9,22.49,19980630,40885.96,0.64,27.81,65.16,58.6,34.44,16078
002573,清新环境,环境保护,北京,34.76,10.65,10.66,976253.38,397522.53,380449.47,71952.86,0.68,0.467,3.09,7.0,20110422,136591.63,1.28,29.59,40.2,38.39,25.06,69883
300145,中金环境,专用机械,浙江,51.41,3.94,6.68,653955.56,263102.56,90126.31,205143.27,3.07,0.441,5.73,5.27,20101209,101223.52,1.52,51.66,107.95,43.88,16.78,7236
600298,安琪酵母,食品,湖北,35.56,8.11,8.24,677774.44,231964.8,340648.91,65197.44,0.79,0.649,3.95,5.85,20000818,185562.77,2.25,15.36,91.04,32.62,11.01,29495
600100,同方股份,电脑设备,北京,6.56,21.98,29.64,5865951.0,2892276.25,472090.84,926180.38,3.12,1.72,7.65,1.97,19970627,912290.63,3.08,-4.44,799.41,17.72,29.74,233560
002671,龙泉股份,其他建材,山东,153.18,3.12,4.81,353167.03,203526.67,63065.95,121059.65,2.52,0.059,4.29,2.82,20120426,33051.28,0.69,46.08,3.77,33.01,5.37,32153
600353,旭光股份,元器件,四川,147.99,5.44,5.44,158921.34,126469.86,24776.93,11375.75,0.21,0.08,1.96,6.06,20021120,30814.55,0.57,17.2,-10.26,18.27,4.45,69967
300020,银江股份,软件服务,浙江,35.15,6.21,6.56,569381.5,432907.94,20621.27,135697.84,2.07,0.361,4.83,3.5,20091030,83261.68,1.27,-17.2,70.13,22.17,21.39,56297
300262,巴安水务,环境保护,上海,37.12,2.3,4.47,385983.66,221531.84,9009.96,112725.67,2.52,0.366,4.5,4.02,20110916,38886.62,0.87,88.49,87.38,33.17,17.8,25273
300425,环能科技,环境保护,四川,90.67,0.77,1.86,137098.3,80713.24,29330.45,64071.36,3.45,0.235,6.23,4.55,20150216,24778.88,1.34,70.69,10.95,43.54,13.44,12187
002389,南洋科技,元器件,浙江,135.9,5.28,7.09,391945.22,142354.05,103676.06,220882.8,3.12,0.139,4.82,5.21,20100413,46782.55,0.66,31.98,41.84,28.61,11.35,41874
300491,通合科技,电气设备,河北,151.72,0.28,0.81,56546.3,36997.28,17024.06,24318.6,3.0,0.506,5.11,15.02,20151231,11625.03,1.43,20.04,-3.98,40.35,18.43,15411
601886,江河集团,装修装饰,北京,40.02,9.41,11.54,2535080.75,1987160.25,103790.8,295534.22,2.56,0.305,5.79,2.11,20110818,211330.3,1.83,-5.68,12.49,13.94,2.31,28224
600760,中航黑豹,汽车整车,山东,445.63,3.45,3.45,169859.91,93081.36,34509.71,57639.69,1.67,0.08,1.27,28.17,19961011,-49627.82,-1.44,-31.96,112.57,5.66,2.41,43683
600828,茂业商业,百货,四川,34.3,5.7,17.32,1583835.75,247119.91,763010.63,31167.71,0.18,0.328,2.26,4.99,19940224,60857.8,0.35,51.23,-12.11,26.18,6.03,26980
600781,辅仁药业,中成药,河南,137.05,1.78,1.78,129677.97,37378.69,71389.74,12936.33,0.73,0.115,2.09,10.01,19961218,4525.21,0.25,7.63,-12.03,39.77,5.97,19415
603778,乾景园林,建筑施工,北京,84.84,0.9,2.0,157837.45,156061.52,1119.12,32313.55,1.62,0.249,4.57,6.17,20151231,35375.23,1.77,0.23,45.53,24.64,15.77,19649
300318,博晖创新,医疗保健,北京,254.27,3.83,8.21,211337.91,54397.01,33102.26,30166.68,0.37,0.025,1.71,4.96,20120523,26655.83,0.32,108.55,31.68,53.71,7.33,24424
603019,中科曙光,电脑设备,天津,86.28,3.59,6.43,613160.44,392825.03,77097.96,157494.25,2.45,0.36,4.52,6.66,20141106,62411.57,0.97,19.06,26.77,20.86,5.14,55026
002158,汉钟精机,工程机械,上海,38.71,5.3,5.3,243387.52,183602.25,42572.1,73186.4,1.38,0.314,3.67,3.31,20070817,55307.95,1.04,9.53,6.22,36.12,17.09,19903
002716,金贵银业,小金属,湖南,62.7,3.1,5.03,789695.38,595910.06,88187.75,52096.26,1.04,0.263,4.14,5.32,20140128,90939.5,1.81,32.69,25.64,9.16,2.45,76471
002351,漫步者,电脑设备,深圳,118.38,2.8,5.88,188746.7,142253.13,21071.82,71787.02,1.22,0.107,2.92,5.78,20100205,36119.15,0.61,3.1,-18.88,33.14,13.22,42562
300577,开润股份,纺织,安徽,65.13,0.17,0.67,46515.8,34249.23,10867.58,5742.66,0.86,0.962,4.35,19.21,20161221,9938.2,1.49,66.52,42.54,28.16,11.54,30642
600797,浙大网新,软件服务,浙江,64.36,8.31,9.14,425487.75,284199.38,9417.62,40098.48,0.44,0.175,2.38,6.29,19970418,74705.4,0.82,-33.26,725.62,22.62,6.51,60985
300312,邦讯技术,通信设备,北京,0.0,1.76,3.2,164542.88,139991.81,1993.56,35740.73,1.12,-0.142,2.32,7.53,20120508,4260.27,0.13,-24.45,-953.38,43.72,-17.06,17080
600405,动力源,电气设备,北京,162.63,4.29,4.39,256385.91,175250.7,54474.11,18259.3,0.42,0.053,1.88,6.08,20040401,23387.78,0.53,25.84,561.12,32.27,2.63,114595
600787,中储股份,仓储物流,天津,28.61,18.6,22.0,1973599.38,1285205.75,195219.38,356935.0,1.62,0.349,4.26,2.35,19970121,241526.02,1.1,-14.02,15.09,4.91,5.02,79099
002761,多喜爱,纺织,湖南,572.64,0.55,1.2,86428.07,50263.25,7860.81,24021.73,2.0,0.081,5.31,11.7,20150610,24735.97,2.06,12.45,-44.5,36.62,2.17,7311
000826,启迪桑德,环境保护,湖北,33.6,8.47,8.54,2094905.75,722777.94,147762.86,225013.34,2.63,0.838,8.67,4.33,19980225,346396.31,4.05,28.69,16.1,29.84,13.38,28948
603817,海峡环保,环境保护,福建,133.32,1.13,4.5,180461.13,26159.35,90670.5,31825.55,0.71,0.141,2.65,9.44,20170220,22613.6,0.5,0.0,0.0,50.53,25.87,103817
000068,华控赛格,元器件,深圳,822.49,8.97,10.07,131372.41,76690.34,18912.17,119427.15,1.19,0.01,0.62,13.14,19970611,-173442.36,-1.72,74.4,42.39,42.41,3.35,34914
600848,上海临港,园区开发,上海,118.4,4.0,11.2,732892.69,564830.38,971.32,199432.3,1.78,0.139,3.67,5.97,19940324,38533.28,0.34,18.34,37.98,72.8,25.53,50243
