code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
600433,冠豪高新,2.23,2.07,19.4153,8.8916,0.0555,429.2084,2.6825
600435,北方导航,5.15,7.85,17.4499,100.0812,0.2015,1274.38,2.567
600436,片仔癀,12.71,18.51,37.1663,99.3572,0.7096,536.7674,3.834
600438,通威股份,15.96,2.48,9.6257,202.1597,0.294,8137.7633,11.8364
600439,瑞贝卡,7.26,8.17,22.8248,94.6738,0.1535,1158.227,1.8787
600444,国机通用,-31.8,-33.43,-1.1304,-38.9049,-0.3705,116.355,1.1081
600446,金证股份,4.19,2.36,18.9167,16.7605,0.1219,709.7054,5.1637
600448,华纺股份,-15.48,-6.73,0.2736,-69.1227,-0.2161,1025.7512,3.2074
600449,宁夏建材,17.57,27.51,44.0544,345.4558,1.7703,1255.5452,6.4342
600452,涪陵电力,1.92,1.9,11.5781,9.0147,0.0563,473.9798,2.9623
600455,博通股份,-13.64,-15.24,32.3809,-19.0373,-0.3048,124.9044,1.9998
600456,宝钛股份,0.64,1.42,8.9803,24.1733,0.0561,1691.7774,3.9319
600458,时代新材,15.25,6.42,25.563,76.3534,0.3736,1187.9825,5.8133
600459,贵研铂业,3.74,2.62,10.8709,22.0799,0.1976,842.0541,7.5361
600460,士兰微,6.33,7.12,26.3339,47.4682,0.1174,666.0393,1.6482
600461,洪城水业,4.69,14.59,36.1796,23.3251,0.1666,159.7827,1.1413
600462,九有股份,-213.84,-57.7,-35.2615,-179.291,-0.4366,310.6872,0.7566
600463,空港股份,9.64,9.6,25.0815,58.1926,0.2309,605.639,2.4033
600466,蓝光发展,2.16,4.62,41.3822,10.4592,0.0595,225.9997,1.2869
600467,好当家,5.67,18.27,25.3522,72.7854,0.1148,398.2619,0.6285
600468,百利电气,3.6,5.27,21.2906,16.4315,0.0518,311.7496,0.984
600469,风神股份,15.71,6.33,20.8882,254.4035,0.6785,4016.7207,10.7129
600470,六国化工,3.62,1.92,5.0111,39.2937,0.1738,2043.5547,9.0422
600475,华光股份,9.8,4.87,15.9918,96.4902,0.3769,1980.2624,7.7354
600476,湘邮科技,-2.19,-2.69,13.7397,-5.661,-0.0351,210.2009,1.305
600477,杭萧钢构,9.37,3.37,14.1423,65.0417,0.202,1929.896,5.9963
600478,科力远,2.1,1.23,8.9315,13.263,0.0463,1077.6277,3.7642
600479,千金药业,10.27,13.41,60.131,90.8325,0.4171,676.8776,3.1088
600480,凌云股份,15.7,7.19,25.0329,125.784,0.4031,1749.1996,5.6064
600481,双良节能,14.41,10.9,22.7973,294.5722,0.4363,2700.5923,4.0004
600482,中国动力,2.73,1.44,12.5197,28.7437,0.0623,1989.7814,4.3162
600483,福能股份,2.07,1.99,8.8656,14.4953,0.0502,725.3702,2.5144
600485,信威集团,5.01,11.3,51.8699,19.5173,0.1428,172.7028,1.2639
600486,扬农化工,9.12,10.42,19.9216,139.7359,1.0551,1340.4764,10.1217
600487,亨通光电,10.04,9.41,26.3736,123.6044,0.744,1312.3881,7.9002
600488,天药股份,3.12,6.92,25.5086,46.8609,0.0863,676.9318,1.2469
600489,中金黄金,6.29,2.18,9.2405,259.8102,0.3286,11908.4021,15.0623
600490,鹏欣资源,-23.29,-70.35,5.9562,-45.0876,-0.3415,64.0819,0.4854
600491,龙元建设,6.35,2.58,10.0328,138.2286,0.2917,5356.5581,11.3055
600493,凤竹纺织,1.83,2.11,11.6963,10.0609,0.0591,474.7749,2.7927
600495,晋西车轴,1.27,1.8,10.6726,16.9108,0.1007,937.4698,5.5831
600496,精工钢构,13.75,4.34,14.3487,131.1252,0.38,3018.3487,8.7488
600497,驰宏锌锗,7.24,6.34,22.7384,176.1595,0.2258,2776.1813,3.5592
600498,烽火通信,6.41,6.1,26.0873,200.8445,0.4898,3291.9163,8.029
600499,科达洁能,8.48,10.74,18.9766,94.8189,0.209,882.6142,1.9458
600500,中化国际,8.26,3.27,9.0725,467.3095,0.325,14271.9659,9.9277
600501,航天晨光,2.98,2.18,22.5418,30.3334,0.0935,1389.3889,4.2829
600502,安徽水利,4.13,1.77,14.1833,24.0286,0.1077,1354.8286,6.0732
600503,华丽家族,8.06,126.28,43.0938,89.4162,0.1695,70.8054,0.1342
600505,西昌电力,38.42,54.67,53.2443,155.0264,0.4252,283.5631,0.7778
600506,香梨股份,-5.09,-87.42,11.9566,-12.1719,-0.0824,13.922,0.0942
600507,方大特钢,2.27,0.49,6.4409,40.825,0.0596,8185.8492,11.959
600508,上海能源,13.96,12.66,25.7311,630.0405,0.8717,4975.0621,6.8838
600509,天富能源,2.77,4.94,30.4351,50.8065,0.0774,1026.4114,1.5653
600510,黑牡丹,8.8,16.66,28.3241,307.9201,0.387,1847.2034,2.3219
600511,国药股份,18.95,4.86,9.2054,188.5515,0.3938,3877.6202,8.0986
600512,腾达建设,3.5,2.78,11.908,37.0086,0.1004,1329.5701,3.6083
600513,联环药业,4.65,7.16,50.1874,13.4567,0.1495,187.907,2.0878
600515,海航基础,-7.96,-1.83,32.2844,-4.6312,-0.0156,252.1324,0.853
600516,方大炭素,5.78,9.95,24.0466,152.7293,0.1194,1533.7741,1.1991
600517,置信电气,18.23,19.74,36.7252,205.4415,0.332,1040.3495,1.6814
600518,康美药业,7.86,18.39,29.9344,320.8647,0.1893,1743.875,1.0292
600519,贵州茅台,27.16,48.5,90.4805,3786.9514,4.0124,7807.2024,8.272
600520,*ST中发,-12.6,-26.52,18.5862,-29.8613,-0.2641,112.5578,0.9957
600521,华海药业,8.94,15.81,41.8697,100.9811,0.3374,638.5722,2.134
600522,中天科技,15.42,9.21,24.381,236.1255,0.736,2561.8487,7.9857
600523,贵航股份,5.71,6.13,23.5464,78.1941,0.2707,1274.4838,4.4131
600525,长园集团,6.72,15.51,41.0397,99.3844,0.4603,640.7728,2.9682
600526,菲达环保,1.67,0.8,13.5312,8.561,0.0611,1060.141,7.5724
600527,江南高纤,7.14,8.04,14.3453,52.7266,0.15,655.3473,1.8656
600528,中铁工业,11.09,1.59,7.3748,437.8263,0.3,27375.1073,18.7603
600529,山东药玻,7.09,12.82,32.1395,110.1651,0.428,858.9373,3.3372
600530,交大昂立,3.1,10.75,60.213,25.6348,0.0821,238.369,0.764
600531,豫光金铅,5.91,1.33,2.6406,59.11,0.2589,4442.2522,19.4605
600532,宏达矿业,0.05,0.05,10.9291,0.1569,0.001,300.9107,1.9783
600533,栖霞建设,6.11,10.3,34.3991,161.8868,0.1541,1570.5327,1.4957
600535,天士力,11.6,7.87,32.3505,225.395,0.4618,2861.4688,5.8636
